village_id,village_name,state,district,block,lat,lon,population,pct_st_population,num_households,pct_pucca_houses,fhtc_coverage_pct,hamlet_count,hamlets_leq_20hh,groundwater_index,nearest_health_center_km,is_hilly_area,pct_un_electrified,pct_lpg_coverage,mobile_connectivity,total_farmland_ha,irrigated_area_ha,pct_forest_cover,num_fra_patta_holders,has_cfr,num_shgs,tourism_potential,is_aspirational_block,is_pvtg,avg_land_holding_acre,income_level
TG-WR-001,Warangal Tribal Hamlet,Telangana,Warangal,Warangal Block,18.0,79.6,1500,72,320,40,85,3,1,Low,12,False,6,60,4G,480,110,28,115,True,18,False,False,False,1.6,Low
TG-NR-002,Nirmal Tribal Village,Telangana,Nirmal,Nirmal Block,19.1,78.4,900,65,180,70,100,1,0,Medium,6,True,0,85,3G,150,80,45,60,False,6,True,True,False,2.2,Medium
TG-RG-003,Rangareddy Hamlet,Telangana,Rangareddy,Rangareddy Block,17.8,78.3,520,55,110,20,60,4,2,Low,22,False,18,30,None,60,5,62,90,True,3,False,False,True,0.9,Low
OD-MY-001,Mayurbhanj FRA Village,Odisha,Mayurbhanj,Karanjia,21.9,86.7,2000,80,420,55,95,2,0,Medium,9,True,2,70,4G,320,210,72,250,True,25,True,False,False,1.9,Low
OD-KL-002,Kalahandi Cluster,Odisha,Kalahandi,Junagarh,19.7,83.0,740,60,160,30,40,5,2,Low,15,False,12,35,2G,120,15,55,80,False,4,False,True,False,2.8,Low
OD-PN-003,Puri Coastal Hamlet,Odisha,Puri,Puri Block,19.8,85.8,1300,52,280,88,100,1,0,High,4,False,0,92,4G,60,50,12,20,False,9,True,False,False,0.6,Medium
TR-KH-001,Khowai Tribal Settlement,Tripura,Khowai,Khowai Block,24.0,91.6,1200,78,250,67,88,2,0,High,8,False,3,75,4G,90,20,70,140,True,12,True,False,False,1.2,Low
TR-DR-002,Dhalai Remote Hamlet,Tripura,Dhalai,Dhalai Block,23.8,91.9,600,85,120,25,20,6,3,Low,30,True,28,12,None,30,0,85,75,True,2,False,True,True,0.4,Low
TR-WT-003,West Tripura Cluster,Tripura,West Tripura,Agartala Block,23.9,91.3,2100,65,450,92,100,1,0,High,3,False,0,95,4G,420,380,22,40,False,40,True,False,False,2.6,Medium
MP-CH-001,Chhindwara FRA Hamlet,Madhya Pradesh,Chhindwara,Chhindwara Block,22.1,78.9,950,75,210,18,55,4,2,Low,18,False,14,28,2G,260,40,80,220,True,5,False,True,True,1.1,Low
MP-BP-002,Bhopal Fringe Village,Madhya Pradesh,Bhopal,Huzur,23.3,77.4,1800,52,380,80,100,1,0,Medium,6,False,1,88,4G,140,110,15,35,False,22,True,False,False,1.9,Medium
MP-NR-003,Narmada Riverside,Madhya Pradesh,Narmadapuram,Narmada Block,22.6,78.2,640,58,140,45,75,2,0,High,7,False,5,55,3G,200,150,35,40,False,9,True,False,False,3.1,Medium
